mode,n_samples,z_seed,rep,n_questions,concept_accuracy
sample_y,3,30,2,19,1.0
sample_y,3,30,3,21,1.0
sample_y,3,30,4,17,1.0
sample_y,3,31,0,30,0.8571428571428571
sample_y,3,31,1,21,1.0
sample_y,3,31,2,21,1.0
sample_y,3,31,3,25,1.0
sample_y,3,31,4,26,1.0
sample_y,3,32,0,28,0.8571428571428571
sample_y,3,32,1,19,1.0
sample_y,3,32,2,23,1.0
sample_y,3,32,3,23,1.0
sample_y,3,32,4,16,1.0
sample_y,3,33,0,11,1.0
sample_y,3,33,1,17,0.8571428571428571
sample_y,3,33,2,28,1.0
sample_y,3,33,3,12,1.0
sample_y,3,33,4,12,1.0
sample_y,3,34,0,20,1.0
sample_y,3,34,1,22,1.0
sample_y,3,34,2,18,1.0
sample_y,3,34,3,20,1.0
sample_y,3,34,4,20,1.0
sample_y,3,35,0,20,1.0
sample_y,3,35,1,14,1.0
sample_y,3,35,2,25,1.0
sample_y,3,35,3,14,0.7142857142857143
sample_y,3,35,4,28,1.0
sample_y,3,36,0,16,1.0
sample_y,3,36,1,30,0.8571428571428571
sample_y,3,36,2,30,0.8571428571428571
sample_y,3,36,3,24,1.0
sample_y,3,36,4,26,1.0
sample_y,3,37,0,14,1.0
sample_y,3,37,1,19,1.0
sample_y,3,37,2,24,1.0
sample_y,3,37,3,18,1.0
sample_y,3,37,4,25,0.8571428571428571
sample_y,3,38,0,26,1.0
sample_y,3,38,1,16,1.0
sample_y,3,38,2,21,1.0
sample_y,3,38,3,30,0.8571428571428571
sample_y,3,38,4,25,1.0
sample_y,3,39,0,18,1.0
sample_y,3,39,1,20,0.8571428571428571
sample_y,3,39,2,19,0.8571428571428571
sample_y,3,39,3,27,0.8571428571428571
sample_y,3,39,4,19,0.8571428571428571
sample_y,3,40,0,21,1.0
sample_y,3,40,1,19,1.0
sample_y,3,40,2,27,1.0
sample_y,3,40,3,23,1.0
sample_y,3,40,4,25,1.0
sample_y,3,41,0,18,0.8571428571428571
sample_y,3,41,1,17,1.0
sample_y,3,41,2,15,1.0
sample_y,3,41,3,20,1.0
sample_y,3,41,4,15,1.0
sample_y,3,42,0,27,0.7142857142857143
sample_y,3,42,1,26,0.7142857142857143
sample_y,3,42,2,25,1.0
sample_y,3,42,3,26,0.8571428571428571
sample_y,3,42,4,26,1.0
sample_y,3,43,0,14,0.8571428571428571
sample_y,3,43,1,19,0.8571428571428571
sample_y,3,43,2,19,1.0
sample_y,3,43,3,28,1.0
sample_y,3,43,4,23,1.0
sample_y,3,44,0,25,0.8571428571428571
sample_y,3,44,1,19,0.8571428571428571
sample_y,3,44,2,24,0.8571428571428571
sample_y,3,44,3,27,0.8571428571428571
sample_y,3,44,4,23,0.8571428571428571
sample_y,3,45,0,21,1.0
sample_y,3,45,1,21,1.0
sample_y,3,45,2,30,0.8571428571428571
sample_y,3,45,3,21,1.0
sample_y,3,45,4,25,1.0
sample_y,3,46,0,24,0.8571428571428571
sample_y,3,46,1,20,1.0
sample_y,3,46,2,16,1.0
sample_y,3,46,3,28,0.8571428571428571
sample_y,3,46,4,18,0.8571428571428571
sample_y,3,47,0,17,1.0
sample_y,3,47,1,11,0.5714285714285714
sample_y,3,47,2,20,1.0
sample_y,3,47,3,20,1.0
sample_y,3,47,4,26,1.0
sample_y,3,48,0,25,1.0
sample_y,3,48,1,19,1.0
sample_y,3,48,2,19,1.0
sample_y,3,48,3,15,0.8571428571428571
sample_y,3,48,4,18,1.0
sample_y,3,49,0,15,1.0
sample_y,3,49,1,19,1.0
sample_y,3,49,2,19,1.0
sample_y,3,49,3,27,0.7142857142857143
sample_y,3,49,4,28,0.8571428571428571
sample_y,5,0,0,10,1.0
sample_y,5,0,1,19,1.0
sample_y,5,0,2,8,1.0
sample_y,5,0,3,10,1.0
sample_y,5,0,4,14,1.0
sample_y,5,1,0,11,1.0
sample_y,5,1,1,23,1.0
sample_y,5,1,2,21,1.0
sample_y,5,1,3,13,1.0
sample_y,5,1,4,14,1.0
sample_y,5,2,0,30,1.0
sample_y,5,2,1,18,1.0
sample_y,5,2,2,19,1.0
sample_y,5,2,3,14,1.0
sample_y,5,2,4,19,1.0
sample_y,5,3,0,17,0.8571428571428571
sample_y,5,3,1,20,0.8571428571428571
sample_y,5,3,2,13,1.0
sample_y,5,3,3,8,1.0
sample_y,5,3,4,15,1.0
sample_y,5,4,0,15,1.0
sample_y,5,4,1,13,0.8571428571428571
sample_y,5,4,2,10,1.0
sample_y,5,4,3,24,0.7142857142857143
sample_y,5,4,4,12,1.0
sample_y,5,5,0,17,0.8571428571428571
sample_y,5,5,1,15,1.0
sample_y,5,5,2,10,1.0
sample_y,5,5,3,13,1.0
sample_y,5,5,4,17,1.0
sample_y,5,6,0,30,0.8571428571428571
sample_y,5,6,1,26,1.0
sample_y,5,6,2,27,1.0
sample_y,5,6,3,18,1.0
sample_y,5,6,4,27,1.0
sample_y,5,7,0,20,1.0
sample_y,5,7,1,17,1.0
sample_y,5,7,2,21,1.0
sample_y,5,7,3,19,0.8571428571428571
sample_y,5,7,4,17,1.0
sample_y,5,8,0,18,1.0
sample_y,5,8,1,12,1.0
sample_y,5,8,2,17,1.0
sample_y,5,8,3,16,1.0
sample_y,5,8,4,10,1.0
sample_y,5,9,0,26,0.8571428571428571
sample_y,5,9,1,10,1.0
sample_y,5,9,2,11,1.0
sample_y,5,9,3,25,1.0
sample_y,5,9,4,30,0.8571428571428571
sample_y,5,10,0,15,1.0
sample_y,5,10,1,16,1.0
sample_y,5,10,2,25,0.8571428571428571
sample_y,5,10,3,21,0.8571428571428571
sample_y,5,10,4,21,0.8571428571428571
sample_y,5,11,0,16,1.0
sample_y,5,11,1,11,1.0
sample_y,5,11,2,16,1.0
sample_y,5,11,3,21,0.8571428571428571
sample_y,5,11,4,19,0.8571428571428571
sample_y,5,12,0,22,1.0
sample_y,5,12,1,25,1.0
sample_y,5,12,2,27,0.8571428571428571
sample_y,5,12,3,18,1.0
sample_y,5,12,4,18,1.0
sample_y,5,13,0,24,1.0
sample_y,5,13,1,23,1.0
sample_y,5,13,2,13,1.0
sample_y,5,13,3,20,0.8571428571428571
sample_y,5,13,4,13,1.0
sample_y,5,14,0,18,1.0
sample_y,5,14,1,20,1.0
sample_y,5,14,2,18,1.0
sample_y,5,14,3,19,1.0
sample_y,5,14,4,21,1.0
sample_y,5,15,0,16,1.0
sample_y,5,15,1,16,0.8571428571428571
sample_y,5,15,2,14,1.0
sample_y,5,15,3,18,1.0
sample_y,5,15,4,14,1.0
sample_y,5,16,0,26,0.8571428571428571
sample_y,5,16,1,22,1.0
sample_y,5,16,2,28,0.8571428571428571
sample_y,5,16,3,28,1.0
sample_y,5,16,4,30,0.8571428571428571
sample_y,5,17,0,18,1.0
sample_y,5,17,1,18,1.0
sample_y,5,17,2,25,0.8571428571428571
sample_y,5,17,3,16,1.0
sample_y,5,17,4,24,1.0
sample_y,5,18,0,19,1.0
sample_y,5,18,1,22,1.0
sample_y,5,18,2,21,1.0
sample_y,5,18,3,25,1.0
sample_y,5,18,4,19,1.0
sample_y,5,19,0,13,1.0
sample_y,5,19,1,15,1.0
sample_y,5,19,2,10,1.0
sample_y,5,19,3,12,1.0
sample_y,5,19,4,10,1.0
sample_y,5,20,0,18,1.0
sample_y,5,20,1,15,1.0
sample_y,5,20,2,11,1.0
sample_y,5,20,3,15,1.0
sample_y,5,20,4,13,1.0
sample_y,5,21,0,17,1.0
sample_y,5,21,1,17,1.0
sample_y,5,21,2,16,1.0
sample_y,5,21,3,17,1.0
sample_y,5,21,4,22,0.8571428571428571
sample_y,5,22,0,16,0.8571428571428571
sample_y,5,22,1,30,1.0
sample_y,5,22,2,27,0.7142857142857143
sample_y,5,22,3,18,1.0
sample_y,5,22,4,22,1.0
sample_y,5,23,0,16,1.0
sample_y,5,23,1,14,1.0
sample_y,5,23,2,11,1.0
sample_y,5,23,3,21,1.0
sample_y,5,23,4,15,1.0
sample_y,5,24,0,18,1.0
sample_y,5,24,1,17,1.0
sample_y,5,24,2,15,1.0
sample_y,5,24,3,27,0.8571428571428571
sample_y,5,24,4,14,1.0
sample_y,5,25,0,28,1.0
sample_y,5,25,1,14,1.0
sample_y,5,25,2,15,1.0
sample_y,5,25,3,24,0.8571428571428571
sample_y,5,25,4,19,1.0
sample_y,5,26,0,20,1.0
sample_y,5,26,1,16,1.0
sample_y,5,26,2,27,1.0
sample_y,5,26,3,29,0.8571428571428571
sample_y,5,26,4,19,1.0
sample_y,5,27,0,24,0.8571428571428571
sample_y,5,27,1,20,1.0
sample_y,5,27,2,18,0.8571428571428571
sample_y,5,27,3,18,1.0
sample_y,5,27,4,24,1.0
sample_y,5,28,0,25,1.0
sample_y,5,28,1,20,1.0
sample_y,5,28,2,28,0.8571428571428571
sample_y,5,28,3,25,1.0
sample_y,5,28,4,21,1.0
sample_y,5,29,0,16,1.0
sample_y,5,29,1,30,0.8571428571428571
sample_y,5,29,2,28,1.0
sample_y,5,29,3,20,1.0
sample_y,5,29,4,24,1.0
sample_y,5,30,0,28,1.0
sample_y,5,30,1,16,0.8571428571428571
sample_y,5,30,2,19,1.0
sample_y,5,30,3,27,1.0
sample_y,5,30,4,20,1.0
sample_y,5,31,0,23,1.0
sample_y,5,31,1,16,1.0
sample_y,5,31,2,18,1.0
sample_y,5,31,3,17,1.0
sample_y,5,31,4,22,1.0
sample_y,5,32,0,21,1.0
sample_y,5,32,1,18,1.0
sample_y,5,32,2,20,1.0
sample_y,5,32,3,19,1.0
sample_y,5,32,4,24,1.0
sample_y,5,33,0,16,1.0
sample_y,5,33,1,22,0.8571428571428571
