group,z_true,n_questions,correct_diagnosis,hamming
valide (z_true dans Z),arithmetic_base|fractions_ratios|probability_statistics,18,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry|probability_statistics,16,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|probability_statistics,17,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry,17,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry|probability_statistics,17,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,20,True,0
valide (z_true dans Z),probability_statistics,8,True,0
valide (z_true dans Z),arithmetic_base,15,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|geometry|probability_statistics,16,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios,19,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry,15,False,1
valide (z_true dans Z),algebra_linear|probability_statistics,17,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,16,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base,18,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,13,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry|probability_statistics,19,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry,27,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry,15,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,18,False,1
valide (z_true dans Z),arithmetic_base,30,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry,28,False,2
valide (z_true dans Z),arithmetic_base|fractions_ratios|probability_statistics,24,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,17,True,0
valide (z_true dans Z),arithmetic_base|geometry,16,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,14,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear,28,False,2
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,19,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|probability_statistics,22,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,29,False,2
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base,16,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,20,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|geometry|probability_statistics,27,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,25,False,1
valide (z_true dans Z),arithmetic_base|geometry,24,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry,25,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,29,False,1
valide (z_true dans Z),arithmetic_base,13,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|probability_statistics,25,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,20,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry,11,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry,20,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,18,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,17,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,13,False,3
valide (z_true dans Z),arithmetic_base|fractions_ratios|probability_statistics,14,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base,21,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|probability_statistics,13,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,17,True,0
valide (z_true dans Z),arithmetic_base|geometry,17,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios,13,True,0
valide (z_true dans Z),arithmetic_base,24,True,0
valide (z_true dans Z),arithmetic_base|geometry|probability_statistics,13,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,23,False,1
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,17,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|geometry,26,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,14,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry,16,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,18,True,0
valide (z_true dans Z),(vide),21,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|probability_statistics,16,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,14,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry,13,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|probability_statistics,22,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios,16,True,0
valide (z_true dans Z),arithmetic_base|geometry|probability_statistics,23,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|probability_statistics,21,True,0
