policy,z_seed,question_index,longueur_arc_cumulee
adaptatif,19,10,7.069221
adaptatif,19,11,7.504329
adaptatif,19,12,8.013017
adaptatif,19,13,8.641868
adaptatif,19,14,9.182576
adaptatif,19,15,9.531533
adaptatif,19,16,9.784044
adaptatif,20,0,0.000000
adaptatif,20,1,0.600697
adaptatif,20,2,1.226444
adaptatif,20,3,1.841998
adaptatif,20,4,2.631933
adaptatif,20,5,3.595626
adaptatif,20,6,4.054270
adaptatif,20,7,4.493182
adaptatif,20,8,5.452892
adaptatif,20,9,6.082042
adaptatif,20,10,6.620074
adaptatif,20,11,7.229160
adaptatif,20,12,7.575290
adaptatif,20,13,7.834471
adaptatif,20,14,8.088015
adaptatif,21,0,0.000000
adaptatif,21,1,0.600697
adaptatif,21,2,1.390632
adaptatif,21,3,2.180567
adaptatif,21,4,2.679694
adaptatif,21,5,3.508587
adaptatif,21,6,4.472280
adaptatif,21,7,4.900486
adaptatif,21,8,5.508141
adaptatif,21,9,6.393271
adaptatif,21,10,7.332983
adaptatif,21,11,7.960970
adaptatif,21,12,8.923804
adaptatif,21,13,9.528077
adaptatif,21,14,10.051800
adaptatif,21,15,10.681587
adaptatif,21,16,11.310860
adaptatif,21,17,11.847603
adaptatif,21,18,12.192386
adaptatif,21,19,12.622737
adaptatif,21,20,12.873893
adaptatif,22,0,0.000000
adaptatif,22,1,0.870585
adaptatif,22,2,1.496332
adaptatif,22,3,2.111886
adaptatif,22,4,2.737634
adaptatif,22,5,3.353188
adaptatif,22,6,4.319946
adaptatif,22,7,5.281274
adaptatif,22,8,5.785482
adaptatif,22,9,6.244126
adaptatif,22,10,6.920487
adaptatif,22,11,7.582908
adaptatif,22,12,8.021820
adaptatif,22,13,8.430914
adaptatif,22,14,8.866022
adaptatif,22,15,9.125203
adaptatif,22,16,9.378746
adaptatif,22,17,9.616011
adaptatif,22,18,10.012449
adaptatif,22,19,10.556091
adaptatif,22,20,10.864433
adaptatif,23,0,0.000000
adaptatif,23,1,0.600697
adaptatif,23,2,1.390632
