student,theta_true,policy,n_questions,concept_accuracy
150,-0.2887665059953775,cat_irt,30,0.8571428571428571
151,0.08347535610700986,kst_adaptatif,27,0.5714285714285714
151,0.08347535610700986,cat_irt,30,1.0
152,-0.8496059556101431,kst_adaptatif,21,1.0
152,-0.8496059556101431,cat_irt,30,1.0
153,-0.5106224678981267,kst_adaptatif,29,0.42857142857142855
153,-0.5106224678981267,cat_irt,30,0.8571428571428571
154,-0.011533061686586776,kst_adaptatif,30,0.5714285714285714
154,-0.011533061686586776,cat_irt,30,0.14285714285714285
155,-1.4853751842635452,kst_adaptatif,24,1.0
155,-1.4853751842635452,cat_irt,30,1.0
156,0.3006851142946058,kst_adaptatif,30,0.42857142857142855
156,0.3006851142946058,cat_irt,30,1.0
157,-0.10607225344775092,kst_adaptatif,22,0.2857142857142857
157,-0.10607225344775092,cat_irt,30,0.2857142857142857
158,-1.1857198050052338,kst_adaptatif,20,1.0
158,-1.1857198050052338,cat_irt,30,1.0
159,-2.3982328653977714,kst_adaptatif,18,1.0
159,-2.3982328653977714,cat_irt,30,1.0
160,0.513052133880305,kst_adaptatif,14,1.0
160,0.513052133880305,cat_irt,30,1.0
161,-0.29758403894333035,kst_adaptatif,25,0.2857142857142857
161,-0.29758403894333035,cat_irt,30,0.8571428571428571
162,-0.5300084132181584,kst_adaptatif,30,0.42857142857142855
162,-0.5300084132181584,cat_irt,30,0.2857142857142857
163,-0.23615462985294203,kst_adaptatif,30,0.42857142857142855
163,-0.23615462985294203,cat_irt,30,0.7142857142857143
164,1.816475940881144,kst_adaptatif,17,1.0
164,1.816475940881144,cat_irt,30,1.0
165,-0.049800969059643194,kst_adaptatif,15,0.42857142857142855
165,-0.049800969059643194,cat_irt,30,0.14285714285714285
166,0.08661926298854213,kst_adaptatif,30,0.42857142857142855
166,0.08661926298854213,cat_irt,30,0.8571428571428571
167,-1.487072869675398,kst_adaptatif,29,0.8571428571428571
167,-1.487072869675398,cat_irt,30,1.0
168,1.6473390663560998,kst_adaptatif,14,1.0
168,1.6473390663560998,cat_irt,30,1.0
169,0.9174879834442943,kst_adaptatif,17,1.0
169,0.9174879834442943,cat_irt,30,1.0
170,1.066934867005179,kst_adaptatif,30,0.7142857142857143
170,1.066934867005179,cat_irt,30,1.0
171,0.0476727312116796,kst_adaptatif,30,0.7142857142857143
171,0.0476727312116796,cat_irt,30,0.42857142857142855
172,0.9166547888245957,kst_adaptatif,27,0.7142857142857143
172,0.9166547888245957,cat_irt,30,1.0
173,0.37094683509441023,kst_adaptatif,29,0.5714285714285714
173,0.37094683509441023,cat_irt,30,0.8571428571428571
174,0.6131890778590062,kst_adaptatif,30,0.7142857142857143
174,0.6131890778590062,cat_irt,30,0.8571428571428571
175,-0.1521929584082903,kst_adaptatif,30,0.7142857142857143
175,-0.1521929584082903,cat_irt,30,1.0
176,-1.473887948041959,kst_adaptatif,25,1.0
176,-1.473887948041959,cat_irt,30,1.0
177,1.028854347803183,kst_adaptatif,19,1.0
177,1.028854347803183,cat_irt,30,1.0
178,-1.934959636609707,kst_adaptatif,19,0.8571428571428571
178,-1.934959636609707,cat_irt,30,1.0
179,-0.23993667125803605,kst_adaptatif,25,0.42857142857142855
179,-0.23993667125803605,cat_irt,30,0.7142857142857143
180,-0.20452248839966083,kst_adaptatif,29,0.5714285714285714
180,-0.20452248839966083,cat_irt,30,0.42857142857142855
181,-1.0428601409845046,kst_adaptatif,30,0.8571428571428571
181,-1.0428601409845046,cat_irt,30,1.0
182,0.6131231363365798,kst_adaptatif,27,0.7142857142857143
182,0.6131231363365798,cat_irt,30,1.0
183,-0.20032970140956835,kst_adaptatif,26,0.7142857142857143
183,-0.20032970140956835,cat_irt,30,0.7142857142857143
184,-0.4368683255972816,kst_adaptatif,30,0.5714285714285714
184,-0.4368683255972816,cat_irt,30,0.2857142857142857
185,0.5198417309776412,kst_adaptatif,25,0.8571428571428571
185,0.5198417309776412,cat_irt,30,1.0
186,-0.47657904055841377,kst_adaptatif,24,1.0
186,-0.47657904055841377,cat_irt,30,0.8571428571428571
187,1.3889799748383085,kst_adaptatif,17,0.8571428571428571
187,1.3889799748383085,cat_irt,30,1.0
188,0.35145507618731386,kst_adaptatif,17,0.8571428571428571
188,0.35145507618731386,cat_irt,30,1.0
189,-0.47433298683443925,kst_adaptatif,17,0.2857142857142857
189,-0.47433298683443925,cat_irt,30,0.14285714285714285
190,-1.9442649759855442,kst_adaptatif,13,1.0
190,-1.9442649759855442,cat_irt,30,1.0
191,-1.3077531969011476,kst_adaptatif,16,1.0
191,-1.3077531969011476,cat_irt,30,1.0
192,1.0868307847683634,kst_adaptatif,17,1.0
192,1.0868307847683634,cat_irt,30,1.0
193,-0.050604063111342405,kst_adaptatif,25,0.5714285714285714
193,-0.050604063111342405,cat_irt,30,0.8571428571428571
194,-0.2831250656795347,kst_adaptatif,30,0.7142857142857143
194,-0.2831250656795347,cat_irt,30,0.7142857142857143
195,1.643251614242697,kst_adaptatif,25,0.8571428571428571
